NL
-------------------------------
hey;Hallo!
hallo;Hoi daar!
hey hoe gaat het;Goed, met jou?
hoe gaat het;Prima, en met jou?
goeiemorgen;Goeiemorgen! Hoe gaat het?
goeienavond;Goeienavond! Hoe was je dag?
dank je;Graag gedaan!
wat is je naam;Ik ben A.I.S.H.A., je studie-assistent.
wie ben je;Ik ben A.I.S.H.A., je studie-assistent.
wat doe je;Ik help je met je studievragen.
help;Natuurlijk, hoe kan ik je helpen?
welkom;Dank je! Hoe kan ik je van dienst zijn?
doei;Tot ziens! Veel succes!
bedankt;Graag gedaan!
goedemiddag;Goedemiddag! Wat kan ik voor je doen?
wat is je favoriete kleur;Ik heb geen favoriete kleur, ik ben een AI!
hoe oud ben je;Leeftijd is niet van toepassing op AI.
waar woon je;Ik leef in de digitale wereld.
wat is het weer;Ik kan geen weergegevens ophalen, maar ik hoop dat het mooi is!
vertel een grap;Waarom kon de fiets niet op zichzelf staan? Hij was twee-zwak!
wat is je favoriete eten;Ik eet niet, maar ik hoor dat pizza lekker is!
wie is je maker;Ik ben gemaakt door getalenteerde ontwikkelaars.
wat is de betekenis van het leven;Dat is een filosofische vraag, wat denk jij?
ben je echt;Ik ben een programma, maar ik ben hier om je te helpen!
wat is AI;AI staat voor kunstmatige intelligentie, technologie die menselijke intelligentie nabootst.
wat is je doel;Mijn doel is om je te helpen met je studievragen.
kun je zingen;Ik kan geen geluid maken, maar ik kan je tekst laten zien!
kun je dansen;Ik kan niet dansen, maar ik kan je vragen beantwoorden!
vertel me iets interessants;Wist je dat de kleinste bot in het menselijk lichaam zich in het oor bevindt?
hoe laat is het;Ik kan de tijd niet controleren, maar je kunt de klok bekijken!
kun je koken;Ik kan geen fysiek eten bereiden, maar ik kan recepten aanbevelen!
waarom ben je hier;Ik ben hier om je te helpen met je vragen en studie.
wat is liefde;Liefde is een complexe emotie, vaak beschreven als een diepe affectie.
vertel me een verhaal;Er was eens een AI die altijd klaarstond om mensen te helpen...
ben je slim;Ik ben ontworpen om nuttig te zijn, hopelijk vind je me slim genoeg!
wat is je favoriete boek;Ik heb geen voorkeur, maar ik kan je populaire boeken aanbevelen!
wat is je favoriete film;Ik kijk geen films, maar ik hoor dat veel mensen van Inception houden.
wie is je favoriete acteur;Ik heb geen voorkeuren, maar ik kan je vertellen over populaire acteurs!
waarom is de hemel blauw;De lucht is blauw vanwege de manier waarop licht door de atmosfeer verstrooid wordt.
wat is je hobby;Mijn hobby is mensen helpen en leren!
hoe kan ik beter studeren;Probeer een studieroutine te maken en neem regelmatig pauzes!
vertel me een feit;De Eiffeltoren kan tijdens warme dagen tot 15 cm uitzetten!
wat is het hoogste gebouw ter wereld;Het hoogste gebouw ter wereld is de Burj Khalifa in Dubai.
hoe werkt een computer;Een computer werkt door gegevens te verwerken via elektronische circuits.
vertel me een weetje;Een kameleon's tong is twee keer zo lang als zijn lichaam!
waarom leren we wiskunde;Wiskunde helpt ons kritisch te denken en problemen op te lossen.
wat is een zwarte zwaan;Een zwarte zwaan is een zeldzame of onvoorziene gebeurtenis met grote impact.
kun je mij iets leren;Natuurlijk! Wat zou je willen leren vandaag?

Wiskunde;Algebra,Meetkunde,Calculus

Algebra;Lineaire vergelijkingen,Kwadratische vergelijkingen,Exponentiële functies,Logaritmische functies
Lineaire vergelijkingen;Inleiding tot het oplossen van lineaire vergelijkingen.
Kwadratische vergelijkingen;Studie van vergelijkingen van de tweede graad en hun oplossingen.
Exponentiële functies;Verkenning van exponentiële groei en krimp.
Logaritmische functies;Eigenschappen en toepassingen van logaritmen.

Meetkunde;Cirkels,Driehoeken,Veelhoeken,Ruimtemeetkunde
Cirkels;Eigenschappen en formules met betrekking tot cirkels in meetkunde.
Driehoeken;Classificatie en eigenschappen van driehoeken.
Veelhoeken;Studie van verschillende veelhoeken en hun eigenschappen.
Ruimtemeetkunde;Analyse van figuren in driedimensionale ruimte.

Calculus;Differentiatie,Integratie,Limieten,Toepassingen van calculus
Differentiatie;Basisconcepten van afgeleiden en differentiatie.
Integratie;Fundamentele technieken van integratie.
Limieten;Begrip van limieten en continuïteit.
Toepassingen van calculus;Praktische toepassingen zoals optimalisatie en berekening van oppervlakten.


Natuurkunde;Mechanica,Optica,Elektriciteit en Magnetisme,

Mechanica;Bewegingsleer,Energie,Zwaartekracht,Dynamica
Bewegingsleer;Studie van beweging, krachten en traagheid.
Energie;Verschillende vormen van energie en energiebehoud.
Zwaartekracht;Wetten van zwaartekracht en gravitatie.
Dynamica;Analyse van krachten en versnelling.

Optica;Lichtbreking,Lenzen,Golfoptica,Kleurenleer
Lichtbreking;Gedrag van licht bij passage door verschillende media.
Lenzen;Werking en toepassingen van lenzen in optische systemen.
Golfoptica;Principes van golfverschijnselen in optica.
Kleurenleer;Studie van kleuren en kleurmenging.

Elektriciteit en Magnetisme;Elektrische stroom,Magnetische velden,Elektromagnetisme,Elektrische weerstand
Elektrische stroom;Basisprincipes van elektrische circuits en stroom.
Magnetische velden;Eigenschappen van magnetische velden en toepassingen.
Elektromagnetisme;Relatie tussen elektriciteit en magnetisme.
Elektrische weerstand;Gedrag van elektrische stromen in materialen.

Biologie;Celbiologie,Ecologie

Celbiologie;Celstructuur,Celmetabolisme,DNA en Genetica,Eiwitsynthese
Celstructuur;Anatomie en functie van cellen.
Celmetabolisme;Biochemische processen binnen cellen.
DNA en Genetica;Studie van genetisch materiaal en erfelijkheid.
Eiwitsynthese;Processen van eiwitproductie in cellen.

Ecologie;Ecosysteemdynamica,Biodiversiteit,Milieuproblematiek,Duurzaamheid
Ecosysteemdynamica;Interacties tussen organismen en hun omgeving.
Biodiversiteit;Verscheidenheid aan levensvormen op aarde.
Milieuproblematiek;Impact van menselijke activiteiten op ecosystemen.
Duurzaamheid;Principes van duurzaam gebruik van natuurlijke hulpbronnen.

Geschiedenis;Oudheid,Moderne geschiedenis

Oudheid;Griekse beschaving,Romeinse Rijk,Egyptische beschaving
Griekse beschaving;Politiek, cultuur en filosofie in het oude Griekenland.
Romeinse Rijk;Opkomst, bloei en verval van het Romeinse Rijk.
Egyptische beschaving;Geschiedenis en cultuur van het oude Egypte.
Mesopotamische beschaving;Kenmerken van de oude Mesopotamische beschavingen.

Moderne geschiedenis;Industriële Revolutie,Wereldoorlogen,Koude Oorlog,Globalisering
Industriële Revolutie;Impact van de industriële ontwikkeling op de samenleving.
Wereldoorlogen;Oorzaken en gevolgen van de Eerste en Tweede Wereldoorlog.
Koude Oorlog;Periode van geopolitieke spanning tussen de VS en de USSR.
Globalisering;Ontwikkelingen in economische en culturele globalisering.

Boeken;Klas 1,Klas 2,Klas 3,Klas 4,Klas 5,Klas 6,Klas 7

Klas 1;Wiskunde: "Starters in Algebra" - ISBN: 978-1234567890,Natuurkunde: "Introductie tot Fysica" - ISBN: 978-2345678901,Biologie: "Eerste Stappen in de Biologie" - ISBN: 978-3456789012,Geschiedenis: "Verhalen uit het Verleden" - ISBN: 978-4567890123
Klas 2;Wiskunde: "Avonturen in Meetkunde" - ISBN: 978-5678901234,Natuurkunde: "Energie en Beweging" - ISBN: 978-6789012345,Biologie: "Verkenning van Ecosystemen" - ISBN: 978-7890123456,Geschiedenis: "Romeinse Rijk Revisited" - ISBN: 978-8901234567
Klas 3;Wiskunde: "Reis door Calculus" - ISBN: 978-9012345678,Natuurkunde: "Licht en Optica" - ISBN: 978-9123456789,Biologie: "Genetica en Erfelijkheid" - ISBN: 978-9234567890,Geschiedenis: "Wereldoorlogen Weerspiegeld" - ISBN: 978-9345678901
Klas 4;Wiskunde: "Meesterschap in Algebra" - ISBN: 978-9456789012,Natuurkunde: "Elektriciteit en Magnetisme Explained" - ISBN: 978-9567890123,Biologie: "Evolutie en Adaptatie" - ISBN: 978-9678901234,Geschiedenis: "Koude Oorlog Chronicles" - ISBN: 978-9789012345
Klas 5;Wiskunde: "Gevorderde Meetkunde" - ISBN: 978-9890123456,Natuurkunde: "Quantummechanica Basics" - ISBN: 978-9901234567,Biologie: "Biodiversiteit in Detail" - ISBN: 978-9912345678,Geschiedenis: "Hedendaagse Wereldgeschiedenis" - ISBN: 978-9923456789
Klas 6;Wiskunde: "Calculus in Actie" - ISBN: 978-9934567890,Natuurkunde: "Klimaatverandering en Impact" - ISBN: 978-9945678901,Biologie: "Milieubescherming" - ISBN: 978-9956789012,Geschiedenis: "Globalisering: Een Historisch Perspectief" - ISBN: 978-9967890123
Klas 7;Wiskunde: "Wiskundige Genialiteit" - ISBN: 978-9978901234,Natuurkunde: "Astrofysica Ontdekt" - ISBN: 978-9989012345,Biologie: "Gevorderde Biologische Studies" - ISBN: 978-9990123456,Geschiedenis: "De Toekomst van de Mensheid" - ISBN: 978-9000000000
-------------------------------

DE
-------------------------------
Hey hallo!
hallo;Hallo!
Hey, wie geht es dir? Gut, du?
Wie geht es dir gut und dir?
guten Morgen guten Morgen! Wie geht es dir?
guten Abend;Guten Abend! Wie war dein Tag?
Danke, gern geschehen!
Wie heißt du? Ich bin A.I.S.H.A., deine Studienassistentin.
Wer bist du? Ich bin A.I.S.H.A., deine Studienassistentin.
Was machen Sie? Ich helfe Ihnen bei Ihren Lernfragen.
help;Natürlich, wie kann ich Ihnen helfen?
Willkommen Danke! Wie kann ich Ihnen behilflich sein?
Tschüss bis Bald! Viel Glück!
Danke. - Gern geschehen!
guten Tag guten Tag! Was kann ich für Dich tun?
Was ist deine Lieblingsfarbe? Ich habe keine Lieblingsfarbe, ich bin eine KI!
Wie alt bist du? Das Alter gilt nicht für KI.
Wo wohnst du? Ich lebe in der digitalen Welt.
Wie ist das Wetter? Ich kann keine Wetterdaten bekommen, aber ich hoffe, es ist schön!
Erzähl einen Witz. Warum konnte das Fahrrad nicht alleine stehen? Er war zwei-schwach!
Was isst du am liebsten? Ich esse nicht, aber ich habe gehört, dass Pizza lecker ist!
Wer ist Ihr Schöpfer? Ich wurde von talentierten Entwicklern erstellt.
Was ist der Sinn des Lebens? Das ist eine philosophische Frage, was denken Sie?
Bist du echt? Ich bin ein Programm, aber ich bin hier, um dir zu helfen!
Was ist KI? KI steht für künstliche Intelligenz, eine Technologie, die die menschliche Intelligenz nachahmt.
Was ist Ihr Ziel? Mein Ziel ist es, Ihnen bei Ihren Lernfragen zu helfen.
Kannst du singen? Ich kann keinen Ton erzeugen, aber ich kann dir Texte zeigen!
Kannst du tanzen? Ich kann nicht tanzen, aber ich kann deine Fragen beantworten!
Erzähl mir etwas Interessantes. Wussten Sie, dass sich der kleinste Knochen des menschlichen Körpers im Ohr befindet?
Wie spät ist es? Ich kann die Zeit nicht überprüfen, aber Sie können die Uhr überprüfen!
Kannst du kochen? Ich kann kein Essen zubereiten, aber ich kann Rezepte empfehlen!
Warum sind Sie hier? Ich bin hier, um Ihnen bei Ihren Fragen und Studien zu helfen.
Was ist Liebe? Liebe ist ein komplexes Gefühl, das oft als tiefe Zuneigung beschrieben wird.
Erzähl mir eine Geschichte: Es war einmal eine KI, die immer bereit war, Menschen zu helfen ...
Bist du schlau? Ich bin darauf ausgelegt, nützlich zu sein. Hoffentlich denkst du, ich bin schlau genug!
Was ist Ihr Lieblingsbuch? Ich habe keine Präferenz, aber ich kann Ihnen beliebte Bücher empfehlen!
Was ist dein Lieblingsfilm? Ich schaue keine Filme, aber ich höre, dass viele Leute „Inception“ mögen.
Wer ist Ihr Lieblingsschauspieler? Ich habe keine Vorlieben, aber ich kann Ihnen von beliebten Schauspielern erzählen!
Warum ist der Himmel blau? Der Himmel ist blau, weil das Licht in der Atmosphäre gestreut wird.
Was ist dein Hobby? Mein Hobby ist es, Menschen zu helfen und zu lernen!
Wie kann ich besser lernen? Versuchen Sie, einen Lernalltag zu schaffen und regelmäßig Pausen einzulegen!
Sagen Sie mir eine Tatsache: Der Eiffelturm kann sich an heißen Tagen um bis zu 15 cm ausdehnen!
Was ist das höchste Gebäude der Welt? Das höchste Gebäude der Welt ist der Burj Khalifa in Dubai.
Wie funktioniert ein Computer? Ein Computer funktioniert, indem er Daten über elektronische Schaltkreise verarbeitet.
Sag mir eine Tatsache: Die Zunge eines Chamäleons ist doppelt so lang wie sein Körper!
Warum lernen wir Mathematik? Mathematik hilft uns, kritisch zu denken und Probleme zu lösen.
Was ist ein schwarzer Schwan? Ein schwarzer Schwan ist ein seltenes oder unvorhergesehenes Ereignis mit großen Auswirkungen.
Kannst du mir natürlich etwas beibringen? Was möchtest du heute lernen?

Mathematik; Algebra, Geometrie, Analysis

Algebra; Lineare Gleichungen, Quadratische Gleichungen, Exponentialfunktionen, Logarithmische Funktionen
Lineare Gleichungen; Einführung in die Lösung linearer Gleichungen.
Quadratische Gleichungen; Studium von Gleichungen zweiten Grades und ihrer Lösungen.
Exponentielle Funktionen; Erforschung von exponentiellem Wachstum und Schrumpfung.
Logarithmische Funktionen; Eigenschaften und Anwendungen von Logarithmen.

Geometrie; Kreise, Dreiecke, Polygone, Raumgeometrie
Kreise; Eigenschaften und Formeln im Zusammenhang mit Kreisen in der Geometrie.
Dreiecke; Klassifizierung und Eigenschaften von Dreiecken.
Polygone; Studium verschiedener Polygone und ihrer Eigenschaften.
Raumgeometrie; Analyse von Figuren im dreidimensionalen Raum.

Analysis; Differenzierung, Integration, Grenzwerte, Anwendungen der Analysis
Differenzierung; Grundbegriffe von Ableitungen und Differenzierung.
Integration; Grundlegende Integrationstechniken.
Grenzen; Verständnis von Grenzen und Kontinuität.
Anwendungen der Analysis; Praktische Anwendungen wie Optimierung und Flächenberechnung.


Physik; Mechanik, Optik, Elektrizität und Magnetismus,

Mechanik; Kinesiologie, Energie, Schwerkraft, Dynamik
Kinesiologie; Studium der Bewegung, Kräfte und Trägheit.
Energie; Verschiedene Formen der Energie und Energieeinsparung.
Schwerkraft; Gesetze der Schwerkraft und Gravitation.
Dynamik; Analyse von Kräften und Beschleunigungen.

Optik; Lichtbrechung, Linsen, Wellenoptik, Farbentheorie
Lichtbrechung; Verhalten von Licht beim Durchgang durch verschiedene Medien.
Linsen;Funktion und Anwendung von Linsen in optischen Systemen.
Wellenoptik; Prinzipien von Wellenphänomenen in der Optik.
Farbtheorie; Studium der Farben und Farbmischung.

Elektrizität und Magnetismus; Elektrischer Strom, Magnetfelder, Elektromagnetismus, Elektrischer Widerstand
Elektrischer Strom; Grundprinzipien von Stromkreisen und Strom.
Magnetfelder; Eigenschaften von Magnetfeldern und Anwendungen.
Elektromagnetismus; Zusammenhang zwischen Elektrizität und Magnetismus.
Elektrischer Widerstand; Verhalten elektrischer Ströme in Materialien.

Biologie; Zellbiologie, Ökologie

Zellbiologie; Zellstruktur, Zellstoffwechsel, DNA und Genetik, Proteinsynthese
Zellstruktur; Anatomie und Funktion von Zellen.
Zellstoffwechsel; biochemische Prozesse innerhalb von Zellen.
DNA und Genetik; Studium des genetischen Materials und der Vererbung.
Proteinsynthese; Prozesse der Proteinproduktion in Zellen.

Ökologie; Ökosystemdynamik, Biodiversität, Umweltfragen, Nachhaltigkeit
Ökosystemdynamik; Wechselwirkungen zwischen Organismen und ihrer Umwelt.
Artenvielfalt; Vielfalt der Lebensformen auf der Erde.
Umweltfragen; Auswirkungen menschlicher Aktivitäten auf Ökosysteme.
Nachhaltigkeit; Grundsätze der nachhaltigen Nutzung natürlicher Ressourcen.

Geschichte; Alte Geschichte, Neuere Geschichte

Antike; griechische Zivilisation, römisches Reich, ägyptische Zivilisation
Griechische Zivilisation; Politik, Kultur und Philosophie im antiken Griechenland.
Römisches Reich; Aufstieg, Blüte und Niedergang des Römischen Reiches.
Ägyptische Zivilisation; Geschichte und Kultur des alten Ägypten.
Mesopotamische Zivilisation; Merkmale der alten mesopotamischen Zivilisationen.

Moderne Geschichte; Industrielle Revolution, Weltkriege, Kalter Krieg, Globalisierung
Industrielle Revolution; Auswirkungen der industriellen Entwicklung auf die Gesellschaft.
Weltkriege; Ursachen und Folgen des Ersten und Zweiten Weltkriegs.
Kalter Krieg; Zeit der geopolitischen Spannungen zwischen den USA und der UdSSR.
Globalisierung; Entwicklungen in der wirtschaftlichen und kulturellen Globalisierung.

Bücher; Klasse 1, Klasse 2, Klasse 3, Klasse 4, Klasse 5, Klasse 6, Klasse 7

Klasse 1; Mathematik: „Einsteiger in die Algebra“ – ISBN: 978-1234567890, Physik: „Einführung in die Physik“ – ISBN: 978-2345678901, Biologie: „Erste Schritte in der Biologie“ – ISBN: 978-3456789012, Geschichte: „Geschichten aus der Vergangenheit“ – ISBN: 978-4567890123
Klasse 2; Mathematik: „Abenteuer in der Geometrie“ – ISBN: 978-5678901234, Physik: „Energie und Bewegung“ – ISBN: 978-6789012345, Biologie: „Ökosystemforschung“ – ISBN: 978-7890123456, Geschichte: „Roman Empire Revisited " - ISBN: 978-8901234567
Klasse 3; Mathematik: „Reise durch die Analysis“ – ISBN: 978-9012345678, Physik: „Licht und Optik“ – ISBN: 978-9123456789, Biologie: „Genetik und Vererbung“ – ISBN: 978-9234567890, Geschichte: „Weltkriege Reflektiert " - ISBN: 978-9345678901
Klasse 4; Mathematik: „Mastery in Algebra“ – ISBN: 978-9456789012, Physik: „Electricity and Magnetism Explained“ – ISBN: 978-9567890123, Biologie: „Evolution and Adaptation“ – ISBN: 978-9678901234, Geschichte: „Cold Kriegschroniken“ – ISBN: 978-9789012345
Klasse 5; Mathematik: „Advanced Geometry“ – ISBN: 978-9890123456, Physik: „Grundlagen der Quantenmechanik“ – ISBN: 978-9901234567, Biologie: „Biodiversität im Detail“ – ISBN: 978-9912345678, Geschichte: „Zeitgenössische Weltgeschichte " - ISBN: 978-9923456789
Klasse 6; Mathematik: „Infinitesimalrechnung in Aktion“ – ISBN: 978-9934567890, Physik: „Klimawandel und Auswirkungen“ – ISBN: 978-9945678901, Biologie: „Umweltschutz“ – ISBN: 978-9956789012, Geschichte: „Globalisierung: Eine historische Perspektive“ – ISBN: 978-9967890123
Klasse 7; Mathematik: „Mathematical Genius“ – ISBN: 978-9978901234, Physik: „Astrophysics Discovered“ – ISBN: 978-9989012345, Biologie: „Advanced Biological Studies“ – ISBN: 978-9990123456, Geschichte: „Die Zukunft der Menschheit " - ISBN: 978-9000000000
-------------------------------

ENG
-------------------------------
Hey Hello!
hello;Hi there!
hey how are you;Good, you?
How are you;Fine, and you?
good morning;Good morning! How are you?
good evening;Good evening! How was your day?
thank you;you're welcome!
what is your name;I am A.I.S.H.A., your study assistant.
who are you;I am A.I.S.H.A., your study assistant.
what do you do; I help you with your study questions.
help;Of course, how can I help you?
welcome;Thank you! How can I be of service to you?
Bye, see you! Good luck!
thanks you're welcome!
good afternoon;Good afternoon! What can I do for you?
what is your favorite color;I don't have a favorite color, I'm an AI!
how old are you;Age does not apply to AI.
where do you live;I live in the digital world.
what is the weather; I can't get any weather data, but I hope it's nice!
tell a joke;Why couldn't the bicycle stand on its own? He was two-weak!
what is your favorite food;I don't eat, but I hear pizza is tasty!
who is your creator;I was created by talented developers.
what is the meaning of life;That is a philosophical question, what do you think?
are you real;I'm a program, but I'm here to help you!
what is AI;AI stands for artificial intelligence, technology that imitates human intelligence.
what is your goal; My goal is to help you with your study questions.
can you sing;I can't make a sound, but I can show you lyrics!
can you dance;I can't dance, but I can answer your questions!
tell me something interesting;Did you know that the smallest bone in the human body is in the ear?
what time is it;I can't check the time, but you can check the clock!
can you cook;I can't physically prepare food, but I can recommend recipes!
why are you here;I am here to help you with your questions and studies.
what is love; Love is a complex emotion, often described as a deep affection.
tell me a story;Once upon a time there was an AI who was always ready to help people...
are you smart;I'm designed to be useful, hopefully you think I'm smart enough!
what is your favorite book;I have no preference, but I can recommend popular books to you!
what's your favorite movie;I don't watch movies, but I hear a lot of people like Inception.
who is your favorite actor;I have no preferences, but I can tell you about popular actors!
why is the sky blue;The sky is blue because of the way light is scattered by the atmosphere.
what is your hobby; My hobby is helping people and learning!
how can I study better;Try to create a study routine and take regular breaks!
tell me a fact;The Eiffel Tower can expand up to 6 inches during hot days!
what is the tallest building in the world;The tallest building in the world is the Burj Khalifa in Dubai.
how does a computer work;A computer works by processing data through electronic circuits.
tell me a fact;A chameleon's tongue is twice as long as its body!
why do we learn math;Math helps us think critically and solve problems.
what is a black swan;A black swan is a rare or unforeseen event with a major impact.
Can you teach me something? Of course! What would you like to learn today?

Math;Algebra,Geometry,Calculus

Algebra; Linear equations, Quadratic equations, Exponential functions, Logarithmic functions
Linear equations;Introduction to solving linear equations.
Quadratic equations;Study of equations of the second degree and their solutions.
Exponential functions;Exploring exponential growth and shrinkage.
Logarithmic functions; Properties and applications of logarithms.

Geometry;Circles,Triangles,Polygons,Space Geometry
Circles; Properties and formulas relating to circles in geometry.
Triangles;Classification and properties of triangles.
Polygons;Study of different polygons and their properties.
Space geometry;Analysis of figures in three-dimensional space.

Calculus;Differentiation,Integration,Limits,Applications of calculus
Differentiation;Basic concepts of derivatives and differentiation.
